2026-04-12 14:57:49.369 [main] INFO  c.x.aiassistant.AiKnowledgeAssistantApplication - Starting AiKnowledgeAssistantApplication using Java 17.0.18 with PID 264704 (C:\Users\LiXin\Desktop\ai-knowledge-assistant\target\classes started by LiXinzhe in C:\Users\LiXin\Desktop\ai-knowledge-assistant)
2026-04-12 14:57:49.370 [main] INFO  c.x.aiassistant.AiKnowledgeAssistantApplication - The following 1 profile is active: "dev"
2026-04-12 14:57:49.897 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-12 14:57:49.899 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-12 14:57:49.922 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2026-04-12 14:57:50.436 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-12 14:57:50.443 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-12 14:57:50.445 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-12 14:57:50.445 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-12 14:57:50.487 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-12 14:57:50.487 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1093 ms
2026-04-12 14:57:51.145 [main] INFO  c.alibaba.cloud.sentinel.SentinelWebMvcConfigurer - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
2026-04-12 14:57:51.233 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1ed52f44, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@771afdd5, org.springframework.security.web.context.SecurityContextHolderFilter@72d16d6, org.springframework.security.web.header.HeaderWriterFilter@6109d880, org.springframework.web.filter.CorsFilter@41ece227, org.springframework.security.web.authentication.logout.LogoutFilter@5fd4e67f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f2d8175, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@44618fe6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3abadb65, org.springframework.security.web.session.SessionManagementFilter@6f976c, org.springframework.security.web.access.ExceptionTranslationFilter@6c56fff, org.springframework.security.web.access.intercept.AuthorizationFilter@66456506]
2026-04-12 14:57:51.815 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-12 14:57:51.826 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-12 14:57:51.926 [main] INFO  c.x.aiassistant.AiKnowledgeAssistantApplication - Started AiKnowledgeAssistantApplication in 2.991 seconds (process running for 3.385)
2026-04-12 14:59:54.568 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-12 14:59:54.568 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-12 14:59:54.568 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
